date, pm25, pm10, o3, no2, so2
2024/11/1, 8, 2, 28, , 
2024/11/2, 5, 2, 28, , 
2024/11/3, 6, 2, 28, , 
2024/11/4, 5, 3, 20, , 
2024/11/5, 8, 4, 15, , 
2024/11/6, 9, 2, 19, , 
2024/11/7, 6, 3, 21, 1, 
2024/11/8, 7, 3, 19, , 
2024/11/9, 10, 1, 21, , 
2024/11/10, 2, 2, 19, , 
2024/11/11, 6, 2, 23, , 
2024/11/12, 4, 3, 23, , 
2024/11/13, 7, 5, 30, , 
2024/11/14, 11, 8, 27, , 
2024/11/15, 17, 6, 30, , 
2024/11/16, 15, 7, 29, , 
2024/11/17, 18, 2, 27, , 
2024/11/18, 4, 1, 24, , 
2024/11/19, 2, , , , 
2024/10/1, 3, 3, 26, , 
2024/10/2, 5, 2, 25, , 
2024/10/3, 5, 1, 26, , 
2024/10/4, 3, 2, 28, , 
2024/10/5, 6, 3, 32, , 
2024/10/6, 9, 4, 29, , 
2024/10/7, 10, 4, 30, , 
2024/10/8, 12, 6, 22, , 
2024/10/9, 19, 6, 30, , 
2024/10/10, 21, 5, 26, , 
2024/10/11, 14, 3, 28, , 
2024/10/12, 7, 4, 28, , 
2024/10/13, 9, 3, 26, , 
2024/10/14, 9, 2, 26, , 
2024/10/15, 5, 2, 27, , 
2024/10/16, 5, 4, 27, , 
2024/10/17, 11, 8, 26, 1, 
2024/10/18, 25, 8, 26, 1, 
2024/10/19, 22, 12, 23, 1, 
2024/10/20, 38, 14, 27, 1, 
2024/10/21, 48, 10, 28, , 
2024/10/22, 30, 5, 28, , 
2024/10/23, 14, 7, 28, , 
2024/10/24, 20, 6, 27, , 
2024/10/25, 20, 9, 24, , 
2024/10/26, 31, 8, 29, , 
2024/10/27, 28, 5, 29, , 
2024/10/28, 14, 2, 27, , 
2024/10/29, 5, 2, 27, , 
2024/10/30, 6, 2, 25, , 
2024/10/31, 6, 3, 31, , 
2024/7/1, 18, 4, 27, , 
2024/7/2, 12, 3, 28, , 
2024/7/3, 9, 5, 31, , 
2024/7/4, 16, 6, 30, , 
2024/7/5, 15, 5, 36, , 
2024/7/6, 14, 8, 34, , 
2024/7/7, 21, 6, 37, , 
2024/7/8, 15, 4, 33, , 
2024/7/9, 12, 3, 32, 1, 
2024/7/10, 7, 9, 35, 1, 
2024/7/11, 25, 7, 31, 1, 
2024/7/12, 24, 5, 27, 1, 
2024/7/13, 19, 6, 34, , 
2024/7/14, 18, 6, 39, , 
2024/7/15, 17, 5, 35, 2, 
2024/7/16, 15, 9, 38, 1, 
2024/7/17, 27, 6, 32, , 
2024/7/18, 18, 4, 29, , 
2024/7/19, 10, 4, 24, , 
2024/7/20, 13, 8, 29, , 
2024/7/21, 30, 10, 40, 1, 
2024/7/22, 36, 10, 33, 1, 
2024/7/23, 37, 6, 32, , 
2024/7/24, 22, 6, 36, , 
2024/7/25, 18, 4, 33, , 
2024/7/26, 13, 4, 42, , 
2024/7/27, 14, 7, 34, , 
2024/7/28, 16, 5, 26, , 
2024/7/29, 12, 3, 24, , 
2024/7/30, 8, 4, 28, , 
2024/7/31, 12, 4, 24, , 
2024/8/1, 10, 4, 22, , 
2024/8/2, 10, 4, 19, , 
